,value,open_value,market_cap(억원),market_cap_rank,title
1033,12140,12225,364,,신한 S&P500 VIX S/T 선물 ETN B
1034,1865,1875,363,코스피1035위,성문전자
1035,12485,12500,362,,KODEX MSCI KOREA ESG유니버설
1036,1160,1140,359,코스피1037위,코아스
1037,2335,2335,355,,바다로19호
1038,107170,107090,354,,KINDEX 국고채3년
1039,1680,1690,350,코스피1040위,TBH글로벌
1040,33850,34150,349,코스피1041위,LG하우시스우
1041,161500,165000,348,코스피1042위,BYC우
1042,17355,17665,347,,미래에셋 에너지화학 Core5 ETN
1043,4835,4760,347,,TIGER 여행레저
1044,9155,9090,345,,KODEX 미국달러선물레버리지
1045,299000,296500,343,코스피1046위,삼성중공우
1046,16240,16245,341,,KODEX 미국나스닥100선물(H)
1047,13510,13575,340,,HANARO 코스닥150
1048,113385,113350,340,,KBSTAR 국고채3년
1049,22670,23100,340,,KODEX China H
1050,112785,112850,338,,KOSEF 국고채3년
1051,16910,17040,338,,QV 바이오 TOP5 ETN
1052,16730,16690,335,,QV 자동차 TOP5 ETN
1053,16280,16170,326,,미래에셋 미디어엔터 Core5 ETN
1054,19005,19100,323,,TIGER KRX300
1055,16050,16100,321,,미래에셋 일본 대형주 ETN(H)
1056,1470,1435,321,코스피1057위,에이엔피
1057,15930,15815,319,,신한 인버스 천연가스 선물 ETN(H)
1058,230,229,317,,베트남개발1
1059,11015,11135,314,,TIGER KRX게임K-뉴딜
1060,15685,15750,314,,미래에셋 미국 헬스케어 ETN(H)
1061,2610,2610,313,코스피1062위,금호전기
1062,15585,15535,312,,신한 레버리지 금 선물 ETN
1063,2395,2440,309,코스피1064위,유안타증권우
1064,4060,4150,309,코스피1065위,태원물산
1065,15390,15390,308,,미래에셋 미국 고배당주 ETN(H)
1066,3060,3160,306,코스피1067위,진양폴리
1067,7610,7725,304,,신한 브렌트원유 선물 ETN(H)
1068,10080,10210,302,,미래에셋 원자재 선물 ETN(H)
1069,20135,20235,302,,TIGER 미국나스닥바이오
1070,258,0,301,코스피1071위,흥아해운
1071,2180,2130,301,,KBSTAR 200선물인버스2X
1072,179000,180000,298,코스피1073위,남양유업우
1073,14870,15215,297,,신한 은 선물 ETN(H)
1074,29720,29995,297,,삼성 레버리지 금 선물 ETN(H)
1075,7800,8100,296,,KODEX China H 레버리지(H)
1076,9785,9855,294,,미래에셋 KRX금현물 Auto-KO-C 2312-01 ETN
1077,24390,24745,293,,TIGER 레버리지
1078,14555,14555,291,,미래에셋 일본 중형주 ETN(H)
1079,14470,14670,289,,신한 K200 USD 선물 바이셀 ETN
1080,4980,4930,289,,TIGER 코스닥150선물인버스
1081,14340,14305,287,,삼성 미국 대형 가치주 ETN(H)
1082,13645,13630,287,,KINDEX 코스닥150
1083,11840,11785,285,,KOSEF 미국달러선물
1084,15005,14975,285,,KINDEX 미국WideMoat가치주
1085,7480,7575,284,,TIGER 차이나CSI300인버스(합성)
1086,14170,14170,283,,미래에셋 유럽 중형주 ETN(H)
1087,14100,14150,282,,신한 레버리지 S&P500 선물 ETN
1088,20100,20325,281,,KBSTAR 글로벌4차산업IT(합성 H)
1089,23390,23775,281,,KBSTAR 200선물레버리지
1090,15570,15160,280,,ARIRANG 미국S&P500(H)
1091,31025,31195,279,,ARIRANG 코스피
1092,62500,60500,278,코스피1093위,일양약품우
1093,22150,22250,278,코스피1094위,티와이홀딩스우
1094,22850,23050,278,코스피1095위,신화실업
1095,13870,13870,277,,삼성 미국 대형 가치주 ETN
1096,16605,16640,274,,HANARO e커머스
1097,13680,13635,274,,미래에셋 호주 ASX200 ETN(H)
1098,12370,12345,272,,KODEX 200롱코스닥150숏선물
1099,13520,13575,270,,신한 금 선물 ETN(H)
1100,6280,6400,269,,TIGER 200 금융
1101,7260,7140,268,코스피1102위,세방우
1102,15290,15505,268,,KOSEF 인도Nifty50(합성)
1103,12580,12665,264,,KODEX Fn K-뉴딜디지털플러스
1104,100220,100220,263,,SMART KIS단기통안채
1105,2010,2005,262,,하이골드12호
1106,6770,6790,257,,에이리츠
1107,14665,14665,257,,KODEX 배당성장
1108,9865,9870,256,,KODEX 미국S&P고배당커버드콜(합성 H)
1109,12815,12815,256,,미래에셋 유럽 대형주 ETN(H)
1110,94340,93170,255,,ARIRANG 미국장기우량회사채
1111,23105,23455,254,,KOSEF 200선물레버리지
1112,61600,0,251,코스피1113위,세기상사
1113,14705,14775,250,,KODEX 200ESG
1114,16440,16555,247,,KINDEX S&P아시아TOP50
1115,8800,8760,246,,KODEX 고배당
1116,615,620,246,,QV 레버리지 WTI원유 선물 ETN(H)
1117,12795,12860,243,,TIGER 골드선물(H)
1118,3090,3100,242,,모두투어리츠
1119,10925,10905,240,,KODEX TRF3070
1120,17450,18050,239,코스피1121위,대상우
1121,11875,11875,238,,TRUE 레버리지 유로스탁스50 ETN(H)
1122,9840,9910,236,,KODEX 필수소비재
1123,10690,10685,235,,KODEX 200가치저변동
1124,3665,3620,234,,TIGER 화장품
1125,105955,105950,234,,ARIRANG 단기채권액티브
1126,16710,16895,234,,KINDEX 골드선물 레버리지(합성 H)
1127,14615,14415,234,,KODEX 바이오
1128,12205,12185,232,,TIGER 단기선진하이일드(합성 H)
1129,2710,2710,230,,TIGER 200 건설
1130,12410,12410,230,,HANARO Fn5G산업
1131,26000,25765,229,,TIGER 200 헬스케어
1132,11375,11350,228,,삼성 KRX 금현물 ETN
1133,907,928,227,코스피1134위,씨아이테크
1134,11280,11280,226,,미래에셋 Q150 Core5 ETN
1135,750,730,225,,삼성 인버스 2X WTI원유 선물 ETN
1136,19900,20200,225,코스피1137위,하이트진로2우B
1137,11215,11215,224,,미래에셋 미국 시니어론 100 ETN(H)
