,value,open_value,market_cap(억원),market_cap_rank,title
407,12250,12250,3358,코스피408위,경방
408,33500,33600,3350,코스피409위,삼성출판사
409,4805,4805,3345,,코람코에너지리츠
410,16250,16450,3337,코스피411위,현대리바트
411,22100,20900,3332,코스피412위,현대비앤지스틸
412,4855,4900,3323,코스피413위,JW홀딩스
413,5240,5250,3319,,이리츠코크렙
414,12700,12800,3315,코스피415위,동성제약
415,20800,20950,3294,코스피416위,JW생명과학
416,25295,25690,3288,,KINDEX 200TR
417,56000,56800,3254,코스피418위,국도화학
418,248500,253000,3230,코스피419위,한국쉘석유
419,17950,18250,3215,코스피420위,이연제약
420,13600,14500,3212,코스피421위,코리아써키트
421,8760,8800,3209,코스피422위,금호산업
422,3785,3775,3206,코스피423위,대교
423,12300,12600,3186,코스피424위,이수화학
424,12900,13900,3179,코스피425위,대한제강
425,79400,79000,3176,코스피426위,조선내화
426,9830,9730,3156,코스피427위,한솔테크닉스
427,50220,50220,3147,,TIGER CD금리투자KIS(합성)
428,12050,12600,3146,코스피429위,코스모화학
429,13150,13200,3130,코스피430위,한솔제지
430,22000,22100,3126,코스피431위,삼양패키징
431,12170,12485,3116,,TIGER 차이나CSI300
432,10800,11000,3112,코스피433위,한일홀딩스
433,2820,2960,3111,코스피434위,티웨이항공
434,11300,11450,3088,코스피435위,유니퀘스트
435,8690,8670,3076,코스피436위,아이마켓코리아
436,72600,74000,3068,코스피437위,CJ4우(전환)
437,13650,13900,3067,코스피438위,한화3우B
438,423,332,3060,코스피439위,이아이디
439,11250,11350,3042,코스피440위,삼화페인트
440,2805,2695,3040,코스피441위,대영포장
441,62800,62900,3040,코스피442위,KPX케미칼
442,12550,12900,3012,코스피443위,그린케미칼
443,3660,3845,3004,코스피444위,에어부산
444,12550,12950,3000,코스피445위,경보제약
445,74600,74000,2984,코스피446위,세아홀딩스
446,18600,18700,2971,코스피447위,제일파마홀딩스
447,18950,19900,2963,코스피448위,한농화성
448,1240,1255,2960,코스피449위,동양
449,14010,14185,2956,,KBSTAR ESG사회책임투자
450,18050,17750,2943,코스피451위,S&T홀딩스
451,7340,7290,2936,코스피452위,한세예스24홀딩스
452,2540,2560,2934,코스피453위,웅진씽크빅
453,29050,29050,2928,코스피454위,신도리코
454,2480,2565,2894,코스피455위,KEC
455,10700,10750,2866,코스피456위,자이에스앤디
456,40400,41350,2865,코스피457위,아모레G3우(전환)
457,18800,18700,2850,코스피458위,인지컨트롤스
458,15800,16150,2828,코스피459위,자화전자
459,4970,5060,2825,코스피460위,세진중공업
460,22350,22900,2822,코스피461위,코오롱
461,2250,2260,2818,코스피462위,금호에이치티
462,12950,13450,2809,코스피463위,경농
463,1920,1945,2808,코스피464위,IHQ
464,6790,6970,2805,코스피465위,경인양행
465,2740,2900,2801,코스피466위,인스코비
466,27900,27750,2788,코스피467위,디티알오토모티브
467,8060,8200,2781,코스피468위,휴비스
468,40150,39900,2754,코스피469위,E1
469,16945,17230,2745,,HANARO MSCI Korea TR
470,14700,14750,2716,코스피471위,KISCO홀딩스
471,8050,8110,2714,코스피472위,도화엔지니어링
472,14000,14450,2703,코스피473위,세방
473,11850,12250,2691,코스피474위,동부건설
474,1920,1935,2686,코스피475위,SBS미디어홀딩스
475,30750,30600,2648,코스피476위,센트랄모텍
476,7200,7200,2644,코스피477위,팜스코
477,9500,9550,2643,코스피478위,세종공업
478,17790,17810,2615,,TIGER 글로벌4차산업혁신기술(합성 H)
479,14150,14200,2613,코스피480위,삼영무역
480,64800,66000,2611,코스피481위,신대양제지
481,9940,9950,2584,코스피482위,대신증권우
482,12300,12400,2583,코스피483위,삼익THK
483,8070,7890,2582,코스피484위,현대약품
484,176000,188000,2567,코스피485위,SK케미칼우
485,4140,4210,2567,코스피486위,대원강업
486,159500,159500,2552,코스피487위,광주신세계
487,28400,29000,2536,코스피488위,계룡건설
488,65400,66600,2533,코스피489위,신세계푸드
489,3650,0,2520,코스피490위,화승알앤에이
490,24200,24850,2519,코스피491위,풍산홀딩스
491,3915,4265,2515,코스피492위,흥국화재
492,88600,89500,2513,코스피493위,세아제강
493,3230,3485,2491,코스피494위,아남전자
494,4650,4755,2490,코스피495위,넥센
495,5030,5080,2482,코스피496위,일진홀딩스
496,10600,11000,2458,코스피497위,KSS해운
497,100500,102500,2441,코스피498위,현대차3우B
498,5730,5840,2432,코스피499위,DB금융투자
499,57500,57800,2429,코스피500위,KPX홀딩스
500,79900,83100,2416,코스피501위,금호석유우
501,4005,4150,2416,코스피502위,KTB투자증권
502,7250,7010,2411,코스피503위,S&T중공업
503,181500,186000,2409,코스피504위,CJ제일제당 우
504,192500,196000,2403,코스피505위,SK이노베이션우
505,142000,145500,2400,코스피506위,대한제분
506,8100,8200,2358,코스피507위,해태제과식품
507,17800,17800,2355,코스피508위,현대상사
508,6450,6460,2351,,KODEX 은행
509,11720,11755,2321,,KODEX 골드선물(H)
510,134500,137000,2313,코스피511위,신세계 I&C
511,20600,21000,2287,코스피512위,아시아나IDT
512,1590,1635,2285,코스피513위,신성통상
513,19700,20350,2277,코스피514위,효성ITX
514,12640,12650,2275,,KBSTAR Fn수소경제테마
515,6710,6810,2274,코스피516위,대덕
516,21850,21850,2266,코스피517위,부국증권
517,358500,369500,2239,코스피518위,BYC
518,3260,3270,2238,코스피519위,코오롱머티리얼
519,4650,4740,2238,코스피520위,용평리조트
520,7280,7410,2229,코스피521위,LS전선아시아
521,6740,6910,2221,코스피522위,HSD엔진
522,5840,6130,2219,코스피523위,코오롱플라스틱
523,4100,4130,2213,코스피524위,수산중공업
524,11550,11300,2208,코스피525위,키다리스튜디오
525,66400,67100,2201,코스피526위,LG우
526,7290,7220,2187,코스피527위,KCTC
527,47800,48000,2184,코스피528위,샘표식품
528,4940,4945,2173,코스피529위,동성코퍼레이션
529,3320,3250,2172,코스피530위,SIMPAC
530,32785,32905,2164,,KINDEX 중국본토CSI300
531,14050,13965,2164,,TIGER 코스닥150
532,2740,2755,2159,코스피533위,LS네트웍스
533,7960,7790,2152,코스피534위,에이블씨엔씨
534,296000,296000,2131,코스피535위,남양유업
535,1550,1585,2122,코스피536위,동양물산
536,10600,10800,2120,코스피537위,삼영전자
537,79600,79600,2117,코스피538위,일성신약
538,4230,4250,2115,,신한 WTI원유 선물 ETN(H)
539,1780,1775,2111,코스피540위,오리엔트바이오
540,15750,16200,2105,코스피541위,두산퓨얼셀1우
541,39700,40000,2104,코스피542위,대한방직
542,18100,18400,2094,코스피543위,한신공영
543,86700,86600,2081,코스피544위,일신방직
544,6350,6350,2040,코스피545위,제주은행
545,7540,7180,2038,코스피546위,서연이화
546,22550,22850,2023,코스피547위,대한제당
547,33650,33600,2019,코스피548위,예스코홀딩스
548,4550,4740,2004,코스피549위,금양
549,91400,92700,2003,코스피550위,아세아
550,6250,6310,1994,코스피551위,HDC현대EP
551,90500,85000,1991,코스피552위,신풍제약우
552,8400,7530,1972,코스피553위,서연
553,120760,120670,1968,,KOSEF 국고채10년
554,8220,8010,1950,코스피555위,대동공업
555,6830,6820,1947,코스피556위,무학
556,12100,12300,1944,코스피557위,한국화장품
557,8510,8740,1940,코스피558위,한국주철관
558,7910,8010,1939,코스피559위,성신양회
559,16855,16615,1938,,KINDEX 베트남VN30(합성)
560,102965,102965,1935,,HANARO 단기통안채
561,38500,37500,1925,코스피562위,사조산업
562,47300,48000,1902,코스피563위,S-Oil우
563,78200,79800,1897,코스피564위,동일산업
564,5580,5600,1895,코스피565위,명문제약
565,36280,37020,1887,,KODEX 반도체
566,9430,9320,1886,코스피567위,노루페인트
567,5980,6080,1884,코스피568위,디아이
568,16350,16950,1880,코스피569위,동아지질
569,62100,63100,1863,코스피570위,삼양통상
570,3970,3885,1859,코스피571위,AJ네트웍스
571,4125,4170,1857,코스피572위,이엔플러스
572,30800,33800,1848,코스피573위,포스코강판
573,113500,117000,1847,코스피574위,삼성물산우B
574,104320,104290,1846,,KBSTAR 단기통안채
575,4390,4350,1844,코스피576위,유니온머티리얼
576,4740,4905,1843,코스피577위,한라
577,18400,18400,1840,,삼성 KTOP30 ETN
578,44350,44750,1837,코스피579위,세아제강지주
579,7310,7305,1828,,하나 코스피 변동성추세 추종 양매도 ETN
580,13850,13650,1818,코스피581위,비케이탑스
581,2195,2225,1812,코스피582위,GS글로벌
582,45200,46350,1808,코스피583위,신세계건설
583,13945,13870,1803,,KBSTAR 코스닥150선물레버리지
584,37900,37500,1788,코스피585위,테이팩스
585,5100,5160,1781,코스피586위,화신
586,31170,31600,1761,,KBSTAR 코스피
587,1245,1275,1757,코스피588위,사조동아원
588,873,886,1756,코스피589위,DB
589,1920,1995,1750,코스피590위,대창
590,15150,15250,1748,코스피591위,일동홀딩스
591,474,380,1726,코스피592위,서울식품
592,3340,3265,1722,코스피593위,인바이오젠
593,74100,72700,1719,코스피594위,미원홀딩스
594,15205,15410,1711,,ARIRANG 코스피TR
595,47300,47400,1708,코스피596위,동남합성
596,2485,2535,1704,코스피597위,벽산
597,8040,8085,1698,,TIGER 중국소비테마
598,12650,12450,1687,코스피599위,제이에스코퍼레이션
599,6930,6850,1677,코스피600위,백산
600,13150,13600,1674,코스피601위,삼일씨엔에스
